rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_ply
False,2017-08-08 16:33:20,2017-08-08 16:33:20,37,resign,white,15+0,1500,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
False,2017-08-06 14:33:20,2017-08-06 14:33:20,34,resign,white,30+30,2449,978,A21,English Opening: King's English Variation |  Reversed Sicilian,3
False,2017-07-10 15:20:00,2017-07-10 15:20:00,32,draw,draw,20+25,1207,978,B70,Sicilian Defense: Dragon Variation,10
False,2017-07-10 15:20:00,2017-07-10 15:20:00,71,resign,black,5+5,1241,978,B23,Sicilian Defense: Closed Variation,3
False,2017-07-09 17:06:40,2017-07-09 17:06:40,30,resign,white,30+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
False,2017-07-09 14:20:00,2017-07-09 17:06:40,66,resign,white,40+40,2443,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
False,2017-07-06 08:33:20,2017-07-06 08:33:20,41,resign,white,20+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3
False,2017-07-06 08:33:20,2017-07-06 08:33:20,49,resign,white,15+0,1500,978,B20,Sicilian Defense: Bowdler Attack,3
False,2017-07-06 08:33:20,2017-07-06 08:33:20,3,resign,black,15+0,978,1500,B01,Scandinavian Defense,2
False,2017-07-06 05:46:40,2017-07-06 05:46:40,7,resign,white,10+0,1343,978,B20,Sicilian Defense: Bowdler Attack,3
False,2017-07-02 15:40:00,2017-07-02 15:40:00,35,mate,white,40+40,2436,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
False,2017-06-25 14:13:20,2017-06-25 17:00:00,41,mate,white,40+40,2436,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
False,2017-06-20 17:33:20,2017-06-20 17:33:20,5,resign,black,10+0,978,1500,C00,French Defense: Normal Variation,3
False,2017-06-19 19:20:00,2017-06-19 19:20:00,7,resign,white,10+0,1500,978,C21,King's Pawn Game: Beyer Gambit,4
False,2017-06-19 16:33:20,2017-06-19 19:20:00,53,mate,white,10+0,978,1500,A80,Dutch Defense,2
False,2017-06-19 16:33:20,2017-06-19 16:33:20,36,resign,black,10+0,1500,978,A20,English Opening: King's English Variation,2
True,2017-08-20 09:06:40,2017-08-20 11:53:20,8,resign,white,16+0,1521,1162,A04,Zukertort Opening: Ross Gambit,2
True,2017-08-19 22:00:00,2017-08-19 22:00:00,3,resign,white,6+10,1407,1500,B23,Sicilian Defense: Closed Variation,3
True,2017-09-01 10:00:00,2017-09-01 10:00:00,28,resign,white,10+0,1492,1458,C26,Vienna Game: Mengarini Variation,5
True,2017-09-01 07:13:20,2017-09-01 07:13:20,30,resign,black,10+0,1414,1442,C41,Philidor Defense: Larsen Variation,8
True,2017-08-31 00:40:00,2017-08-31 00:40:00,44,resign,black,10+0,1457,1294,C44,Scotch Game,5
True,2017-08-31 00:40:00,2017-08-31 00:40:00,29,resign,white,10+0,1525,1466,C41,Philidor Defense: Lopez Countergambit,6
True,2017-09-01 01:40:00,2017-09-01 01:40:00,37,resign,black,8+10,1207,1579,C00,French Defense: Knight Variation,3
True,2017-08-29 01:26:40,2017-08-29 01:26:40,49,resign,white,8+12,1567,1573,A40,Modern Defense,2
True,2017-08-29 01:26:40,2017-08-29 01:26:40,32,resign,black,8+12,1578,1605,A40,Horwitz Defense,2
True,2017-08-29 01:26:40,2017-08-29 01:26:40,25,resign,white,8+12,1939,1581,E10,Blumenfeld Countergambit #2,6
True,2017-08-29 01:26:40,2017-08-29 01:26:40,40,mate,black,5+10,1618,1568,C00,French Defense #2,2
True,2017-08-28 22:40:00,2017-08-28 22:40:00,39,resign,white,7+12,1755,1574,A04,Zukertort Opening: Kingside Fianchetto,2
True,2017-08-28 03:13:20,2017-08-28 03:13:20,57,resign,white,15+10,1561,1596,A45,Indian Game,2
True,2017-08-27 05:00:00,2017-08-27 05:00:00,78,resign,black,5+40,1500,1554,C00,French Defense: Queen's Knight,3
True,2017-08-26 23:26:40,2017-08-26 23:26:40,61,resign,white,15+5,1544,1461,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-26 01:13:20,2017-08-26 01:13:20,44,resign,black,20+5,1563,1335,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-26 01:13:20,2017-08-26 01:13:20,62,mate,black,20+5,1579,1470,A41,Queen's Pawn,2
True,2017-08-25 22:26:40,2017-08-25 22:26:40,87,mate,white,20+5,1617,1590,A45,Indian Game,2
True,2017-08-25 22:26:40,2017-08-25 22:26:40,54,mate,black,20+5,1207,1588,C02,French Defense: Advance |  Steinitz Variation,7
True,2017-08-25 19:40:00,2017-08-25 19:40:00,54,resign,black,15+5,1595,1547,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-25 19:40:00,2017-08-25 19:40:00,37,resign,white,15+5,1855,1599,C01,French Defense: Exchange Variation,5
True,2017-08-25 19:40:00,2017-08-25 19:40:00,50,resign,white,15+5,1589,1547,A40,Horwitz Defense,2
True,2017-08-25 19:40:00,2017-08-25 19:40:00,131,resign,white,30+0,1571,1728,D02,Queen's Pawn Game: London System,5
True,2017-08-25 16:53:20,2017-08-25 19:40:00,48,resign,white,30+0,1720,1579,C00,French Defense: Chigorin Variation,3
True,2017-08-25 00:13:20,2017-08-25 00:13:20,47,resign,black,15+5,1579,2105,D02,Queen's Pawn Game: London System,5
True,2017-08-24 04:46:40,2017-08-24 04:46:40,64,mate,black,15+5,1768,1560,C00,French Defense: La Bourdonnais Variation,3
True,2017-08-24 02:00:00,2017-08-24 02:00:00,61,resign,white,15+5,1552,1436,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-23 03:46:40,2017-08-23 03:46:40,57,mate,white,15+5,1536,1667,D02,Queen's Pawn Game: London System,5
True,2017-08-23 03:46:40,2017-08-23 03:46:40,51,resign,white,15+5,1521,1549,A10,English Opening: Anglo-Lithuanian Variation,2
True,2017-08-23 01:00:00,2017-08-23 01:00:00,58,mate,black,15+5,1251,1545,A00,Crab Opening,3
True,2017-08-23 01:00:00,2017-08-23 01:00:00,71,resign,white,15+5,1537,1408,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-22 22:13:20,2017-08-22 22:13:20,114,resign,white,15+5,1522,1512,A40,Queen's Pawn,1
True,2017-08-22 19:26:40,2017-08-22 19:26:40,39,resign,white,15+5,1602,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,11
True,2017-08-22 19:26:40,2017-08-22 19:26:40,20,resign,black,15+5,1543,1593,D02,Queen's Pawn Game: London System,5
True,2017-08-22 19:26:40,2017-08-22 19:26:40,48,resign,black,30+0,1556,1539,D00,Queen's Pawn Game: Mason Attack,3
True,2017-08-22 02:46:40,2017-08-22 02:46:40,34,mate,black,20+10,1409,1548,C00,French Defense: Knight Variation,3
True,2017-08-22 02:46:40,2017-08-22 02:46:40,51,resign,white,20+10,1539,1418,D02,Queen's Pawn Game: London System,5
True,2017-08-22 00:00:00,2017-08-22 02:46:40,69,resign,white,20+10,1603,1550,C00,French Defense: Queen's Knight,3
True,2017-08-22 00:00:00,2017-08-22 00:00:00,28,resign,white,20+10,1542,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4
True,2017-08-22 00:00:00,2017-08-22 00:00:00,62,resign,black,20+10,1546,1877,D02,Queen's Pawn Game: London System,5
True,2017-08-22 00:00:00,2017-08-22 00:00:00,62,mate,black,20+10,1134,1535,A47,Queen's Indian Defense,4
True,2017-08-22 00:00:00,2017-08-22 00:00:00,85,mate,white,20+10,1513,1784,A40,Horwitz Defense,2
True,2017-08-21 21:13:20,2017-08-21 21:13:20,38,resign,white,20+10,1501,1445,D02,Queen's Pawn Game: London System,5
False,2017-08-29 01:26:40,2017-08-29 01:26:40,14,resign,white,45+0,1500,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8
True,2017-08-31 17:20:00,2017-08-31 17:20:00,113,draw,draw,15+0,1745,1714,D06,Queen's Gambit Refused: Marshall Defense,4
True,2017-08-31 14:33:20,2017-08-31 14:33:20,62,resign,white,15+0,1734,1748,D06,Queen's Gambit Refused: Marshall Defense,4
True,2017-08-24 02:00:00,2017-08-24 04:46:40,101,resign,white,10+0,1942,1739,C10,French Defense: Marshall Variation,6
True,2017-08-24 02:00:00,2017-08-24 02:00:00,75,outoftime,white,10+0,1724,1855,C45,Scotch Game,7
True,2017-08-24 02:00:00,2017-08-24 02:00:00,135,mate,white,10+0,1951,1729,C02,French Defense: Advance Variation |  Main Line,11
True,2017-08-24 02:00:00,2017-08-24 02:00:00,81,outoftime,white,10+0,1726,1388,C41,Philidor Defense,5
True,2017-08-24 02:00:00,2017-08-24 02:00:00,46,resign,black,10+0,1735,1806,D80,Gruenfeld Defense,6
True,2017-08-24 02:00:00,2017-08-24 02:00:00,70,mate,black,10+0,1597,1728,C00,French Defense: Knight Variation,3
True,2017-08-24 02:00:00,2017-08-24 02:00:00,39,resign,white,10+0,1743,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
True,2017-08-24 02:00:00,2017-08-24 02:00:00,91,resign,white,10+0,1721,1750,D30,Queen's Gambit Declined: Traditional Variation,7
True,2017-08-24 02:00:00,2017-08-24 02:00:00,137,outoftime,white,10+0,1746,1487,D20,Queen's Gambit Accepted: Old Variation,5
True,2017-08-24 02:00:00,2017-08-24 02:00:00,46,resign,black,10+0,1744,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9
True,2017-08-24 02:00:00,2017-08-24 02:00:00,18,resign,black,10+0,1749,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
True,2017-08-24 02:00:00,2017-08-24 02:00:00,28,resign,black,10+0,1769,1396,D20,Queen's Gambit Accepted: Old Variation,5
True,2017-08-25 16:53:20,2017-08-25 16:53:20,40,resign,black,5+8,1795,1760,A46,Yusupov-Rubinstein System,5
True,2017-08-25 14:06:40,2017-08-25 16:53:20,111,mate,white,15+0,1729,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,5
True,2017-08-24 15:53:20,2017-08-24 15:53:20,54,mate,black,10+0,1795,1784,C64,Ruy Lopez: Classical Variation,6
True,2017-08-24 15:53:20,2017-08-24 15:53:20,33,resign,white,10+0,1770,1872,D02,Queen's Pawn Game: Zukertort Variation,3
True,2017-08-24 15:53:20,2017-08-24 15:53:20,90,resign,black,10+0,1783,1721,D02,Queen's Pawn Game: London System,5
True,2017-08-24 15:53:20,2017-08-24 15:53:20,90,resign,black,10+0,1884,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,7
True,2017-08-24 15:53:20,2017-08-24 15:53:20,40,mate,black,10+0,1756,1756,C24,Bishop's Opening: Ponziani Gambit,5
True,2017-08-24 15:53:20,2017-08-24 15:53:20,49,outoftime,white,8+0,1724,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
True,2017-08-24 13:06:40,2017-08-24 13:06:40,50,resign,black,10+0,2036,1706,A08,King's Indian Attack: French Variation,6
True,2017-08-23 14:53:20,2017-08-23 14:53:20,59,mate,white,10+0,1706,925,D02,Queen's Pawn Game: London System,5
True,2017-08-30 08:00:00,2017-08-30 08:00:00,26,outoftime,black,15+15,1244,1219,B00,Nimzowitsch Defense: Mikenas Variation,4
True,2017-08-30 08:00:00,2017-08-30 08:00:00,23,mate,white,15+15,1215,921,C50,Italian Game,5
True,2017-08-28 22:40:00,2017-08-28 22:40:00,118,mate,black,15+15,1350,1201,B03,Alekhine Defense #2,5
True,2017-08-28 19:53:20,2017-08-28 22:40:00,66,mate,black,15+15,1210,1280,B29,Sicilian Defense: Nimzowitsch Variation,4
True,2017-08-28 08:46:40,2017-08-28 08:46:40,120,draw,draw,15+15,1139,1212,C50,Four Knights Game: Italian Variation,8
True,2017-08-27 13:20:00,2017-08-27 13:20:00,36,mate,black,15+15,1220,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
True,2017-08-27 10:33:20,2017-08-27 13:20:00,26,mate,black,15+15,1234,1359,C55,Italian Game: Anti-Fried Liver Defense,6
True,2017-08-26 20:40:00,2017-08-26 20:40:00,62,resign,black,15+15,1275,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
True,2017-08-26 20:40:00,2017-08-26 20:40:00,37,resign,white,15+15,1433,1282,B02,Alekhine Defense: Maroczy Variation,3
True,2017-08-25 14:06:40,2017-08-25 14:06:40,24,resign,black,15+15,1132,1276,D06,Queen's Gambit Refused: Marshall Defense,4
False,2017-08-22 16:40:00,2017-08-22 16:40:00,47,resign,white,30+2,1276,1308,C55,Italian Game: Anti-Fried Liver Defense,6
True,2017-08-22 16:40:00,2017-08-22 16:40:00,37,resign,black,15+15,1228,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
True,2017-08-22 16:40:00,2017-08-22 16:40:00,24,resign,black,15+15,1273,1409,B13,Caro-Kann Defense: Exchange Variation,5
True,2017-08-22 13:53:20,2017-08-22 13:53:20,9,resign,white,15+15,1338,1277,D00,Queen's Pawn Game #2,3
True,2017-08-19 16:26:40,2017-08-19 16:26:40,47,mate,white,15+15,1263,1336,B57,Sicilian Defense: Modern Variations |  Main Line,8
True,2017-08-19 16:26:40,2017-08-19 16:26:40,85,mate,white,15+15,1316,1273,A20,English Opening: King's English Variation,2
True,2017-08-19 10:53:20,2017-08-19 10:53:20,39,mate,white,15+15,1248,1253,B00,Goldsmith Defense,2
True,2017-08-19 08:06:40,2017-08-19 08:06:40,58,mate,black,15+15,1335,1233,E20,Nimzo-Indian Defense,6
True,2017-08-19 08:06:40,2017-08-19 08:06:40,95,mate,white,15+15,1223,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
True,2017-08-19 08:06:40,2017-08-19 08:06:40,2,resign,black,15+15,1443,1204,B02,Alekhine Defense,2
True,2017-08-18 21:00:00,2017-08-18 21:00:00,97,mate,white,15+15,1227,1216,D06,Queen's Gambit Refused: Marshall Defense,4
True,2017-08-18 21:00:00,2017-08-18 21:00:00,12,draw,draw,15+15,1215,1219,C50,Italian Game,5
True,2017-08-18 21:00:00,2017-08-18 21:00:00,30,resign,white,15+15,1227,1227,C50,Four Knights Game: Italian Variation,8
True,2017-08-18 21:00:00,2017-08-18 21:00:00,43,mate,white,10+0,1550,1225,E11,Bogo-Indian Defense: Exchange Variation,8
True,2017-08-18 18:13:20,2017-08-18 18:13:20,11,resign,white,15+15,1325,1234,B02,Alekhine Defense,2
True,2017-08-18 12:40:00,2017-08-18 12:40:00,72,mate,black,15+15,1212,1221,B02,Alekhine Defense: Saemisch Attack,5
True,2017-08-18 12:40:00,2017-08-18 12:40:00,156,mate,black,15+15,1226,1478,C40,King's Knight Opening,3
True,2017-08-18 12:40:00,2017-08-18 12:40:00,18,resign,black,25+0,1228,1626,D30,Queen's Gambit Declined,4
False,2017-08-18 09:53:20,2017-08-18 12:40:00,77,mate,white,10+2,1191,1228,C11,French Defense: Classical Variation |  Steinitz Variation,7
True,2017-08-18 09:53:20,2017-08-18 09:53:20,32,resign,black,30+0,1422,1210,B02,Alekhine Defense: Two Pawn Attack,5
True,2017-08-18 09:53:20,2017-08-18 09:53:20,35,resign,white,15+15,1186,1223,C28,Vienna Game: Vienna Gambit,5
True,2017-08-18 09:53:20,2017-08-18 09:53:20,85,mate,white,15+15,1212,1212,B06,Modern Defense,2
True,2017-08-18 09:53:20,2017-08-18 09:53:20,50,resign,black,15+15,1228,1343,B01,Scandinavian Defense: Panov Transfer,6
True,2017-08-31 00:40:00,2017-08-31 00:40:00,111,resign,white,10+10,1865,1862,A46,Yusupov-Rubinstein System,5
True,2017-08-28 19:53:20,2017-08-28 19:53:20,65,outoftime,white,7+2,1852,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
True,2017-08-27 02:13:20,2017-08-27 05:00:00,73,resign,white,15+0,1833,1863,A56,Benoni Defense,4
True,2017-08-25 19:40:00,2017-08-25 19:40:00,125,resign,white,15+0,1851,1918,B27,Sicilian Defense: Hyperaccelerated Dragon,4
True,2017-08-25 03:00:00,2017-08-25 03:00:00,76,resign,black,15+0,1861,1844,C55,Italian Game: Anti-Fried Liver Defense,6
True,2017-08-25 00:13:20,2017-08-25 03:00:00,65,outoftime,white,10+0,1853,1774,C65,Ruy Lopez: Berlin Defense #2,6
True,2017-08-25 00:13:20,2017-08-25 00:13:20,41,mate,white,10+0,1910,1862,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
True,2017-08-25 00:13:20,2017-08-25 00:13:20,59,resign,white,10+0,1851,1890,C00,French Defense: Knight Variation,3
True,2017-08-24 18:40:00,2017-08-24 18:40:00,70,resign,black,15+5,1860,1840,B50,Sicilian Defense: Delayed Alapin,5
True,2017-08-24 04:46:40,2017-08-24 04:46:40,34,resign,white,25+25,1828,1848,B51,Sicilian Defense: Canal-Sokolsky Attack,5
True,2017-08-23 03:46:40,2017-08-23 03:46:40,69,outoftime,white,8+0,1855,1858,E00,Amar Opening,1
True,2017-08-23 01:00:00,2017-08-23 01:00:00,63,resign,white,10+10,1847,1895,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
True,2017-08-23 01:00:00,2017-08-23 01:00:00,107,resign,white,10+10,1885,1856,B50,Sicilian Defense,4
True,2017-08-22 22:13:20,2017-08-22 22:13:20,58,resign,white,30+0,1847,1802,A40,Queen's Pawn,1
False,2017-08-22 22:13:20,2017-08-22 22:13:20,34,resign,black,20+5,1847,1856,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
True,2017-08-22 16:40:00,2017-08-22 19:26:40,100,outoftime,black,15+0,1840,1837,B22,Sicilian Defense: Alapin Variation,3
True,2017-08-21 18:26:40,2017-08-21 21:13:20,80,resign,black,5+5,1848,1806,B40,Sicilian Defense: French Variation,4
True,2017-08-21 18:26:40,2017-08-21 18:26:40,44,resign,black,15+0,1860,1820,C00,French Defense: Knight Variation,3
True,2017-08-20 03:33:20,2017-08-20 03:33:20,40,outoftime,black,10+0,1854,1849,A45,Paleface Attack,3
True,2017-08-19 05:20:00,2017-08-19 05:20:00,105,outoftime,white,10+0,1895,1859,B50,Sicilian Defense,4
True,2017-08-19 02:33:20,2017-08-19 02:33:20,50,resign,black,15+0,1866,1965,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
False,2017-08-18 21:00:00,2017-08-18 21:00:00,144,outoftime,draw,10+0,1866,1843,B50,Sicilian Defense,4
False,2017-08-18 01:33:20,2017-08-18 01:33:20,81,resign,black,10+0,1835,1866,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
True,2017-08-17 03:20:00,2017-08-17 03:20:00,69,resign,black,15+0,1877,1860,C61,Ruy Lopez: Bird Variation,6
True,2017-08-07 01:40:00,2017-08-07 01:40:00,77,mate,white,7+8,1849,1874,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11
True,2017-08-06 00:40:00,2017-08-06 00:40:00,158,mate,black,6+6,1835,1865,E10,Blumenfeld Countergambit #2,6
True,2017-08-04 20:53:20,2017-08-04 20:53:20,107,draw,draw,15+5,1866,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
True,2017-08-01 17:53:20,2017-08-01 17:53:20,117,mate,white,15+0,1856,1829,C78,Ruy Lopez: Morphy Defense #2,12
True,2017-08-01 15:06:40,2017-08-01 15:06:40,44,resign,white,10+0,1845,1846,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
True,2017-07-29 01:00:00,2017-07-29 01:00:00,40,resign,black,15+0,1834,1835,B30,Sicilian Defense: Old Sicilian,4
True,2017-07-28 00:00:00,2017-07-28 00:00:00,59,resign,white,15+5,1846,1845,B10,Caro-Kann Defense,2
False,2017-07-28 00:00:00,2017-07-28 00:00:00,110,resign,black,10+0,1845,1917,D06,Queen's Gambit Refused: Marshall Defense,4
True,2017-07-27 21:13:20,2017-07-27 21:13:20,30,resign,black,15+0,1858,1790,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
True,2017-07-27 21:13:20,2017-07-27 21:13:20,54,resign,black,10+0,1871,1847,B30,Sicilian Defense: Old Sicilian,4
True,2017-07-27 01:46:40,2017-07-27 04:33:20,69,resign,black,10+0,1846,1869,C41,Philidor Defense,5
True,2017-07-26 17:26:40,2017-07-26 17:26:40,178,mate,black,16+0,1843,1836,B22,Sicilian Defense: Alapin Variation,3
True,2017-07-26 03:33:20,2017-07-26 03:33:20,136,resign,black,15+0,1800,1826,B20,Sicilian Defense,2
False,2017-08-31 17:20:00,2017-08-31 17:20:00,124,mate,black,8+0,1283,1267,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
True,2017-08-31 11:46:40,2017-08-31 11:46:40,96,resign,black,10+4,1290,1270,A00,Hungarian Opening,1
True,2017-08-31 11:46:40,2017-08-31 11:46:40,53,outoftime,white,12+0,1331,1281,D00,Queen's Pawn Game #3,4
True,2017-08-30 08:00:00,2017-08-30 08:00:00,39,mate,white,10+0,1304,1292,A00,Van't Kruijs Opening,1
True,2017-08-30 08:00:00,2017-08-30 08:00:00,10,mate,black,10+0,1305,1293,C00,French Defense: Normal Variation,3
True,2017-08-30 08:00:00,2017-08-30 08:00:00,51,mate,white,10+0,1308,1317,C22,Center Game: Berger Variation,8
True,2017-08-27 05:00:00,2017-08-27 05:00:00,18,resign,black,15+0,1296,1305,C54,Italian Game: Giuoco Piano |  Greco's Attack,13
False,2017-08-27 02:13:20,2017-08-27 02:13:20,106,mate,black,30+0,968,1305,C50,Four Knights Game: Italian Variation,8
False,2017-08-26 17:53:20,2017-08-26 17:53:20,38,mate,black,15+15,1293,1466,C41,Philidor Defense #3,5
True,2017-08-26 15:06:40,2017-08-26 15:06:40,59,mate,white,7+2,1500,1299,C68,Ruy Lopez: Exchange Variation,7
True,2017-08-26 12:20:00,2017-08-26 12:20:00,111,mate,white,7+2,1288,1232,B12,Caro-Kann Defense,3
True,2017-08-26 12:20:00,2017-08-26 12:20:00,28,resign,black,7+2,1289,2108,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
False,2017-08-26 09:33:20,2017-08-26 09:33:20,101,outoftime,white,7+2,1431,1289,C22,Center Game: Normal Variation,6
False,2017-08-26 09:33:20,2017-08-26 09:33:20,15,mate,white,7+2,1806,1289,C45,Scotch Game,7
False,2017-08-26 09:33:20,2017-08-26 09:33:20,42,resign,white,7+2,1289,1311,C41,Philidor Defense #3,5
